code;name;tipe;quantity;part
ABEV3;AMBEV S/A;ON;4.358.542.894;3,327;
AMER3;AMERICANAS;ON      NM;399.175.332;1,189;
ASAI3;ASSAI;ON      NM;88.180.251;0,338;
AZUL4;AZUL;PN      N2;327.262.616;0,580;
B3SA3;B3;ON      NM;6.119.434.194;4,446;
BIDI11;BANCO INTER;UNT     N2;272.252.199;0,980;
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,662;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,388;
BBDC3;BRADESCO;ON      N1;1.253.093.907;1,156;
BBDC4;BRADESCO;PN      N1;4.261.649.634;4,548;
BRAP4;BRADESPAR;PN  ED  N1;222.604.507;0,744;
BBAS3;BRASIL;ON      NM;1.283.197.221;1,786;
BRKM5;BRASKEM;PNA     N1;264.640.575;0,700;
BRFS3;BRF SA;ON      NM;811.759.800;0,918;
BPAC11;BTGP BANCO;UNT     N2;1.041.983.176;1,446;
CRFB3;CARREFOUR BR;ON      NM;391.758.726;0,354;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,681;
CMIG4;CEMIG;PN      N1;1.081.211.185;0,565;
HGTX3;CIA HERING;ON      NM;126.186.408;0,224;
CIEL3;CIELO;ON      NM;1.112.196.638;0,171;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,335;
CPLE6;COPEL;PNB     N1;570.829.074;0,151;
CSAN3;COSAN;ON      NM;1.169.237.744;1,352;
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,218;
CVCB3;CVC BRASIL;ON      NM;225.955.651;0,254;
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,281;
ECOR3;ECORODOVIAS;ON      NM;330.237.914;0,171;
ELET3;ELETROBRAS;ON      N1;358.018.408;0,693;
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,464;
EMBR3;EMBRAER;ON      NM;736.143.105;0,565;
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,181;
ENGI11;ENERGISA;UNT     N2;250.679.709;0,486;
ENEV3;ENEVA;ON      NM;1.248.545.726;0,958;
EGIE3;ENGIE BRASIL;ON      NM;254.792.279;0,443;
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;1,072;
EZTC3;EZTEC;ON      NM;95.756.217;0,127;
FLRY3;FLEURY;ON      NM;303.800.430;0,333;
GGBR4;GERDAU;PN      N1;995.903.643;1,285;
GOAU4;GERDAU MET;PN      N1;693.699.918;0,417;
GOLL4;GOL;PN      N2;178.123.292;0,168;
NTCO3;GRUPO NATURA;ON      NM;841.433.075;2,209;
HAPV3;HAPVIDA;ON  EJ  NM;1.265.256.490;0,851;
HYPE3;HYPERA;ON      NM;410.147.968;0,631;
IGTA3;IGUATEMI;ON      NM;85.796.919;0,159;
GNDI3;INTERMEDICA;ON      NM;593.438.080;2,207;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,307;
ITSA4;ITAUSA;PN      N1;4.515.538.171;2,197;
ITUB4;ITAUUNIBANCO;PN      N1;4.770.095.054;6,073;
JBSS3;JBS;ON      NM;1.388.025.890;1,740;
JHSF3;JHSF PART;ON      NM;288.832.602;0,098;
KLBN11;KLABIN S/A;UNT     N2;922.294.338;1,050;
RENT3;LOCALIZA;ON      NM;593.841.434;1,761;
LCAM3;LOCAMERICA;ON      NM;323.763.077;0,414;
LWSA3;LOCAWEB;ON      NM;427.663.748;0,487;
LAME4;LOJAS AMERIC;PN  EC  N1;847.010.651;0,321;
LREN3;LOJAS RENNER;ON      NM;887.417.914;1,750;
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;2,794;
MRFG3;MARFRIG;ON      NM;368.864.634;0,304;
BEEF3;MINERVA;ON      NM;240.482.896;0,099;
MRVE3;MRV;ON      NM;293.978.672;0,208;
MULT3;MULTIPLAN;ON      N2;245.888.754;0,260;
PCAR3;P.ACUCAR-CBD;ON      NM;156.928.631;0,247;
PETR3;PETROBRAS;ON      N2;3.620.580.434;4,308;
PETR4;PETROBRAS;PN      N2;4.566.457.037;5,336;
BRDT3;PETROBRAS BR;ON      NM;1.164.958.126;1,455;
PRIO3;PETRORIO;ON      NM;807.220.415;0,666;
QUAL3;QUALICORP;ON  EJ  NM;283.467.789;0,335;
RADL3;RAIADROGASIL;ON      NM;1.072.645.150;1,273;
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;1,091;
SBSP3;SABESP;ON      NM;339.999.111;0,552;
SANB11;SANTANDER BR;UNT;355.642.348;0,621;
CSNA3;SID NACIONAL;ON;642.398.790;1,258;
SULA11;SUL AMERICA;UNT     N2;284.566.116;0,402;
SUZB3;SUZANO S.A.;ON      NM;724.921.241;1,789;
TAEE11;TAESA;UNT     N2;218.568.274;0,366;
VIVT3;TELEF BRASIL;ON;444.219.852;0,801;
TIMS3;TIM;ON      NM;808.485.985;0,420;
TOTS3;TOTVS;ON      NM;480.228.410;0,797;
UGPA3;ULTRAPAR;ON      NM;1.085.987.426;0,904;
USIM5;USIMINAS;PNA     N1;513.796.208;0,435;
VALE3;VALE;ON      NM;2.456.887.211;12,201;
VVAR3;VIAVAREJO;ON      NM;1.595.508.601;1,020;
WEGE3;WEG;ON      NM;1.482.296.002;2,226;
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,420;
